"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 27. Most recent desitination visited by respondents, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E2. Which country did you visit in your most recent trip outside Canada? (n=7,337); (n(000s)=18,298)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,"6,820",37.30%,"3,453",39.30%,"3,296",35.30%,729,37.90%,"2,752",37.30%,"1,996",36.10%,"1,254",38.5%-,89,45.30%,,,,,,,,,,,,,,
,,[36.2-38.4],,[37.7-40.9],,[33.8-36.8],,[33.7-42.2],,[35.5-39.1],,[34.2-38.0],,[36.0-41.0],,[35.3-55.7],,,,,,,,,,,,,,
Mexico,"1,831",10.00%,849,9.70%,975,10.40%,180,9.40%,794,10.80%,539,9.70%,299,9.20%,18,9.10%,,,,,,,,,,,,,,
,,[9.3-10.7],,[8.7-10.7],,[9.5-11.5],,[7.1-12.2],,[9.7-11.9],,[8.6-11.0],,[7.8-10.8],,[4.7-17.0],,,,,,,,,,,,,,
Caribbean/Central America (other than Mexico),"3,537",19.30%,"1,543",17.60%,"1,970",21.10%,268,13.90%,"1,198",16.20%,"1,332",24.10%,717,22.00%,22,11.20%,,,,,,,,,,,,,,
,,[18.4-20.2],,[16.3-18.8],,[19.8-22.4],,[11.1-17.2],,[14.9-17.6],,[22.4-25.8],,[19.9-24.2],,[6.2-19.6],,,,,,,,,,,,,,
South America,373,2.00%,167,1.90%,196,2.10%,42,2.20%,187,2.5%+,93,1.70%,49,1.5%+,#,#,,,,,,,,,,,,,,
,,[1.7-2.4],,[1.5-2.4],,[1.7-2.6],,[1.2-3.9],,[2.0-3.2],,[1.2-2.3],,[1.0-2.3],,,,,,,,,,,,,,,,
Western/Northern Europe,"1,590",8.70%,780,8.90%,790,8.5%-,148,7.70%,603,8.20%,475,8.60%,335,10.30%,28,14.5%-,,,,,,,,,,,,,,
,,[8.1-9.4],,[8.0-9.9],,[7.6-9.4],,[5.7-10.4],,[7.2-9.2],,[7.5-9.8],,[8.8-11.9],,[8.6-23.3],,,,,,,,,,,,,,
Eastern/Southern Europe,"1,443",7.90%,630,7.20%,797,8.5%+,163,8.5%-,503,6.80%,477,8.60%,290,8.90%,10,5.00%,,,,,,,,,,,,,,
,,[7.3-8.5],,[6.4-8.1],,[7.7-9.5],,[6.3-11.3],,[6.0-7.8],,[7.6-9.8],,[7.5-10.5],,[2.0-11.7],,,,,,,,,,,,,,
Northern Africa,303,1.70%,147,1.70%,152,1.60%,25,1.30%,139,1.90%,99,1.80%,33,1.00%,#,#,,,,,,,,,,,,,,
,,[1.4-2.0],,[1.3-2.1],,[1.3-2.1],,[0.6-2.8],,[1.5-2.5],,[1.3-2.4],,[0.6-1.7],,,,,,,,,,,,,,,,
Sub-Saharan Africa,372,2.00%,195,2.20%,174,1.90%,56,2.90%,161,2.20%,90,1.60%,65,2.00%,Nil,Nil,,,,,,,,,,,,,,
,,[1.7-2.4],,[1.8-2.8],,[1.5-2.4],,[1.8-4.8],,[1.7-2.8],,[1.2-2.2],,[1.4-2.9],,,,,,,,,,,,,,,,
East/Southeast Asia,930,5.10%,479,5.40%,441,4.70%,171,8.90%,468,6.30%,195,3.5%+,93,2.80%,#,#,,,,,,,,,,,,,,
,,[4.6-5.6],,[4.7-6.2],,[4.1-5.5],,[6.7-11.7],,[5.5-7.3],,[2.9-4.3],,[2.1-3.8],,,,,,,,,,,,,,,,
Middle East or Rest of Asia,814,4.40%,434,4.90%,375,4.00%,121,6.30%,471,6.40%,157,2.80%,57,1.70%,#,#,,,,,,,,,,,,,,
,,[4-4.9],,[4.3-5.7],,[3.4-4.7],,[4.5-8.8],,[5.5-7.3],,[2.3-3.6],,[1.2-2.6],,,,,,,,,,,,,,,,
Oceania,231,1.30%,97,1.10%,134,1.40%,#,#,75,1.00%,77,1.40%,53,1.60%,#,#,,,,,,,,,,,,,,
,,[1.0-1.5],,[0.8-1.5],,[1.1-1.9],,,,[0.7-1.4],,[1.0-1.9],,[1.1-2.4],,,,,,,,,,,,,,,,
Other,53,0.30%,14,0.20%,39,0.40%,#,#,30,0.40%,#,#,13,0.40%,#,#,,,,,,,,,,,,,,
,,[0.2-0.4],,[0.1-0.4],,[0.3-0.7],,,,[0.2-0.7],,,,[0.2-0.9],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 28a. Percentage of respondents that were vaccinated for the purposes of their most recent travel, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E3. Did you get vaccinated for the purpose of this trip? (n=7,262); (n(000s)=18,099)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"3,705",20.5%-,"1,957",22.5%+,"1,722",18.60%,421,22.10%,"1,428",19.60%,"1,122",20.40%,697,21.60%,36,18.40%,,,,,,,,,,,,,,
,,[19.6-21.4],,[21.2-23.9],,[17.4-19.9],,[18.7-26.0],,[18.2-21.1],,[18.9-22.1],,[19.5-23.8],,[11.7-27.8],,,,,,,,,,,,,,
No,"14,394",79.5%+,"6,728",77.5%-,"7,533",81.40%,"1,483",77.90%,"5,853",80.40%,"4,369",79.60%,"2,530",78.40%,159,81.60%,,,,,,,,,,,,,,
,,[78.6-80.4],,[76.1-78.8],,[80.1-82.6],,[74.0-81.3],,[78.9-81.8],,[77.9-81.1],,[76.2-80.5],,[72.2-88.3],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 28b. Vaccines received for most recent travel, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E3a. Which of the following vaccinations did you receive for the purpose of this trip? (n=1,368); (n(000s)=3,384)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow fever vaccine,260,7.70%,129,7.30%,126,8.00%,59,16.20%,107,8.20%,62,6.00%,31,4.90%,Nil,Nil,,,,,,,,,,,,,,
,,[6.4-9.2],,[5.6-9.4],,[6.1-10.3],,[10.1-25.0],,[6.1-10.8],,[4.1-8.5],,[2.9-8.1],,,,,,,,,,,,,,,,
Hepatitis A vaccine,565,16.70%,314,17.70%,249,15.70%,81,22.00%,199,15.10%,174,16.60%,111,17.80%,#,#,,,,,,,,,,,,,,
,,[14.8-18.8],,[15.1-20.6],,[13.1-18.7],,[14.8-31.4],,[12.3-18.4],,[13.5-20.3],,[13.7-22.7],,,,,,,,,,,,,,,,
Japanese encephalitis vaccine,32,0.90%,22,1.20%,10,0.60%,#,#,11,0.90%,14,1.40%,#,#,Nil,Nil,,,,,,,,,,,,,,
,,[0.5-1.6],,[0.6-2.3],,[0.2-1.6],,,,[0.3-2.1],,[0.6-2.9],,,,,,,,,,,,,,,,,,
Rabies vaccine,70,2.10%,33,1.80%,38,2.40%,#,#,19,1.5%-,30,2.90%,7,1.20%,Nil,Nil,,,,,,,,,,,,,,
,,[1.4-3.0],,[1.1-3.1],,[1.4-3.9],,,,[0.7-2.9],,[1.7-4.9],,[0.4-3.3],,,,,,,,,,,,,,,,
Typhoid vaccine,211,6.20%,107,6.00%,104,6.60%,44,12.10%,81,6.10%,59,5.60%,25,4.10%,#,#,,,,,,,,,,,,,,
,,[5.1-7.6],,[4.5-8.0],,[4.9-8.8],,[6.9-20.2],,[4.4-8.5],,[3.9-8.1],,[2.3-7.1],,,,,,,,,,,,,,,,
Bacille Calmette-Guérin (BCG) vaccine,18,0.5%+,12,0.70%,6,0.40%,#,#,#,#,#,#,Nil,Nil,Nil,Nil,,,,,,,,,,,,,,
,,[0.3-1.1],,[0.3-1.6],,[0.1-1.2],,,,,,,,,,,,,,,,,,,,,,,,
Cholera and traveller's diarrhea vaccine,257,7.60%,124,7.00%,131,8.30%,31,8.40%,86,6.5%+,98,9.30%,43,6.90%,Nil,Nil,,,,,,,,,,,,,,
,,[6.3-9.1],,[5.3-9.1],,[6.4-10.7],,[4.3-15.8],,[4.7-9.0],,[7.0-12.3],,[4.5-10.5],,,,,,,,,,,,,,,,
Meningococcoal vaccine,64,1.90%,24,1.40%,40,2.5%+,#,#,18,1.40%,21,2.00%,#,#,Nil,Nil,,,,,,,,,,,,,,
,,[1.3-2.8],,[0.7-2.5],,[1.6-4.0],,,,[0.7-2.8],,[1.1-3.7],,,,,,,,,,,,,,,,,,
COVID-19 vaccine,"2,755",81.40%,"1,481",83.30%,"1,257",79.30%,283,77.10%,"1,065",81.00%,861,82.20%,515,82.80%,#,#,,,,,,,,,,,,,,
,,[79.3-83.4],,[80.4-85.8],,[76.0-82.3],,[67.6-84.5],,[77.4-84.1],,[78.4-85.4],,[77.9-86.8],,,,,,,,,,,,,,,,
Other vaccine(s),105,3.10%,37,2.10%,68,4.30%,#,#,41,3.10%,26,2.5%-,34,5.40%,#,#,,,,,,,,,,,,,,
,,[2.3-4.2],,[1.3-3.4],,[3.0-6.2],,,,[1.9-5.0],,[1.4-4.3],,[3.3-8.8],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: respondents could select more than one reason; percentages will not sum to 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 29. Percentage of respondents that intend to seek advice about travel vaccination before next international travel, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E4. Do you plan to seek advice about travel vaccination from your health care provider or a travel clinic before your next trip outside Canada or the US? (n=10,827); (n(000s)=26,390)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"13,354",50.60%,"6,181",48.00%,"7,055",53.20%,"1,409",48.30%,"4,870",47.5%+,"3,862",49.70%,"2,959",58.70%,254,60.30%,,,,,,,,,,,,,,
,,[49.7-51.5],,[46.7-49.4],,[51.9-54.6],,[44.8-51.8],,[46.0-49.1],,[48.1-51.4],,[56.7-60.7],,[53.4-66.9],,,,,,,,,,,,,,
No,"13,036",49.40%,"6,695",52.00%,"6,196",46.80%,"1,511",51.70%,"5,373",52.5%-,"3,904",50.30%,"2,082",41.30%,167,39.70%,,,,,,,,,,,,,,
,,[48.5-50.3],,[50.6-53.3],,[45.4-48.1],,[48.2-55.2],,[50.9-54.0],,[48.6-51.9],,[39.3-43.3],,[33.1-46.6],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 30a. Percentage of respondents that are health care workers, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G9. Are you currently working in any of the following sectors? Include paid and unpaid/volunteer work: Health care worker [e.g. health care provider (e.g., physician, nurse, occupational/physical therapist, etc.), employees/staff who work, study, or volunteer in hospitals, long-term care, nursing home, and group home or community settings] (n=11,867); (n(000s)=29,018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"3,100",10.70%,665,4.70%,"2,415",16.5%-,368,11.20%,"1,589",13.90%,929,10.90%,204,3.80%,11,2.40%,,,,,,,,,,,,,,
,,[10.1-11.3],,[4.2-5.3],,[15.6-17.5],,[9.3-13.5],,[13.0-15.0],,[10.0-12.0],,[3.1-4.6],,[1.0-5.3],,,,,,,,,,,,,,
No,"25,918",89.30%,"13,407",95.30%,"12,233",83.5%+,"2,915",88.80%,"9,818",86.10%,"7,559",89.10%,"5,174",96.20%,452,97.60%,,,,,,,,,,,,,,
,,[88.7-89.9],,[94.7-95.8],,[82.5-84.4],,[86.5-90.7],,[85.0-87.0],,[88.0-90.0],,[95.4-96.9],,[94.7-99.0],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 30b. Percentage of respondents that are health care workers, by province/territory, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G9. Are you currently working in any of the following sectors? Include paid and unpaid/volunteer work: Health care worker [e.g. health care provider (e.g., physician, nurse, occupational/physical therapist, etc.), employees/staff who work, study, or volunteer in hospitals, long-term care, nursing home, and group home or community settings] (n=11,867); (n(000s)=29,018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,,Newfoundland and Labrador,,Prince Edward Island,,Nova Scotia,,New Brunswick,,Quebec,,Ontario,,Manitoba,,Saskatchewan,,Alberta,,British Columbia,,Yukon,,Northwest Territories,,Nunavut,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"3,100",10.70%,47,11.30%,14,11.80%,112,14.20%,69,10.90%,"5,927",11.10%,"1,154",10.30%,116,11.40%,98,11.5%-,354,11.00%,388,9.60%,4,12.10%,2,6.4%*,#,#,,
,,[10.1-11.3],,[8.6-14.8],,[8.9-15.4],,[11.5-17.5],,[8.4-14.2],,[9.9-12.4],,[9.3-11.4],,[8.9-14.5],,[9.0-14.7],,[9.5-12.7],,[8.2-11.1],,[8.2-17.6],,[3.0-13.1],,,,
No,"25,918",89.30%,370,88.70%,106,88.20%,674,85.80%,561,89.10%,740,88.90%,"10,030",89.70%,895,88.60%,750,88.5%+,"2,863",89.00%,"3,666",90.40%,27,87.90%,28,93.60%,#,#,,
,,[88.7-89.9],,[85.2-91.4],,[84.6-91.1],,[82.5-88.5],,[85.8-91.6],,[87.6-90.1],,[88.6-90.7],,[85.5-91.1],,[85.3-91.0],,[87.3-90.5],,[88.9-91.8],,[82.4-91.8],,[82.4-91.8],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 31a. Percentage of respondents that identify as a person with a disability, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G14. Do you identify as a person with disability? (n=11,891); (n(000s)=29,075)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"3,665",12.60%,"1,512",10.70%,"2,074",14.10%,497,15.20%,"1,205",10.5%+,"1,060",12.40%,790,14.70%,114,24.70%,,,,,,,,,,,,,,
,,[12.0-13.2],,[9.9-11.5],,[13.3-15.0],,[13.0-17.8],,[9.7-11.5],,[11.4-13.5],,[13.3-16.1],,[19.4-30.8],,,,,,,,,,,,,,
No,"25,410",87.40%,"12,606",89.30%,"12,596",85.90%,"2,762",84.80%,"10,237",89.5%-,"7,468",87.60%,"4,596",85.30%,348,75.30%,,,,,,,,,,,,,,
,,[86.8-88.0],,[88.5-90.1],,[85.0-86.7],,[82.2-87.0],,[88.5-90.3],,[86.5-88.6],,[83.9-86.7],,[69.2-80.6],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Disability refers a person who has a long-term or recurring impairment (such as vision, hearing, mobility, flexibility, dexterity, pain, learning, developmental, memory or mental health-related) which limits their daily activities inside or outside the home (such as at school, work, or in the community in general).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 31b. Percentage of respondents that identify as a person with a disability, by province/territory, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G14. Do you identify as a person with disability? (n=11,867); (n(000s)=29,075)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada,,Newfoundland and Labrador,,Prince Edward Island,,Nova Scotia,,New Brunswick,,Quebec,,Ontario,,Manitoba,,Saskatchewan,,Alberta,,British Columbia,,Yukon,,Northwest Territories,,Nunavut,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
