Public_health_unit,Antigen,Age,Year,Coverage
Region of Waterloo Public Health and Paramedic Services,HPV,12,2023-2024,49.1
Region of Waterloo Public Health and Paramedic Services,HPV,17,2023-2024,64.5
Region of Waterloo Public Health and Paramedic Services,Diphtheria,17,2023-2024,75.9
Region of Waterloo Public Health and Paramedic Services,HepB,17,2023-2024,74.2
Region of Waterloo Public Health and Paramedic Services,MCV4,12,2023-2024,72.7
Region of Waterloo Public Health and Paramedic Services,Pertussis,17,2023-2024,76.3
Region of Waterloo Public Health and Paramedic Services,Tetanus,17,2023-2024,75.9
Region of Waterloo Public Health and Paramedic Services,Hib,7,2023-2024,78.4
Region of Waterloo Public Health and Paramedic Services,Mumps,7,2023-2024,84.9
Region of Waterloo Public Health and Paramedic Services,Pneumo,7,2023-2024,78.5
Region of Waterloo Public Health and Paramedic Services,Rota,7,2023-2024,73.5
Region of Waterloo Public Health and Paramedic Services,Varicella,7,2023-2024,83.1
Region of Waterloo Public Health and Paramedic Services,Diphtheria,7,2023-2024,85.1
Region of Waterloo Public Health and Paramedic Services,MCC,7,2023-2024,89.7
Region of Waterloo Public Health and Paramedic Services,Measles,7,2023-2024,85.4
Region of Waterloo Public Health and Paramedic Services,Pertussis,7,2023-2024,85.1
Region of Waterloo Public Health and Paramedic Services,Polio,7,2023-2024,85.6
Region of Waterloo Public Health and Paramedic Services,Rubella,7,2023-2024,92.1
Region of Waterloo Public Health and Paramedic Services,Tetanus,7,2023-2024,85.1
Region of Waterloo Public Health and Paramedic Services,Measles,17,2023-2024,94.3
Region of Waterloo Public Health and Paramedic Services,Mumps,17,2023-2024,94.2
Region of Waterloo Public Health and Paramedic Services,Polio,17,2023-2024,92.5
Region of Waterloo Public Health and Paramedic Services,MCV4,17,2023-2024,92.2
Region of Waterloo Public Health and Paramedic Services,Rubella,17,2023-2024,96
Region of Waterloo Public Health and Paramedic Services,Diphtheria,5,2023-2024,64.4
Region of Waterloo Public Health and Paramedic Services,Diphtheria,6,2023-2024,75
Region of Waterloo Public Health and Paramedic Services,Diphtheria,8,2023-2024,87
Region of Waterloo Public Health and Paramedic Services,Diphtheria,9,2023-2024,88.4
Region of Waterloo Public Health and Paramedic Services,Diphtheria,10,2023-2024,89.7
Region of Waterloo Public Health and Paramedic Services,Diphtheria,11,2023-2024,90.9
Region of Waterloo Public Health and Paramedic Services,Diphtheria,12,2023-2024,91.6
Region of Waterloo Public Health and Paramedic Services,Diphtheria,13,2023-2024,91.5
Region of Waterloo Public Health and Paramedic Services,Diphtheria,14,2023-2024,78.2
Region of Waterloo Public Health and Paramedic Services,Diphtheria,15,2023-2024,80.3
Region of Waterloo Public Health and Paramedic Services,Diphtheria,16,2023-2024,83
Region of Waterloo Public Health and Paramedic Services,HepB,13,2023-2024,69.5
Region of Waterloo Public Health and Paramedic Services,HepB,14,2023-2024,44.6
Region of Waterloo Public Health and Paramedic Services,HepB,15,2023-2024,45.7
Region of Waterloo Public Health and Paramedic Services,HepB,16,2023-2024,55.7
Region of Waterloo Public Health and Paramedic Services,Hib,5,2023-2024,77.6
Region of Waterloo Public Health and Paramedic Services,Hib,6,2023-2024,78.7
Region of Waterloo Public Health and Paramedic Services,Hib,8,2023-2024,81.4
Region of Waterloo Public Health and Paramedic Services,Hib,9,2023-2024,81.2
Region of Waterloo Public Health and Paramedic Services,Hib,10,2023-2024,81.7
Region of Waterloo Public Health and Paramedic Services,Hib,11,2023-2024,80.7
Region of Waterloo Public Health and Paramedic Services,Hib,12,2023-2024,79.5
Region of Waterloo Public Health and Paramedic Services,HPV,13,2023-2024,59
Region of Waterloo Public Health and Paramedic Services,HPV,14,2023-2024,32.3
Region of Waterloo Public Health and Paramedic Services,HPV,15,2023-2024,33.5
Region of Waterloo Public Health and Paramedic Services,HPV,16,2023-2024,46.8
Region of Waterloo Public Health and Paramedic Services,MCC,5,2023-2024,89.3
Region of Waterloo Public Health and Paramedic Services,MCC,6,2023-2024,89.7
Region of Waterloo Public Health and Paramedic Services,MCC,8,2023-2024,92
Region of Waterloo Public Health and Paramedic Services,MCC,9,2023-2024,93.4
Region of Waterloo Public Health and Paramedic Services,MCC,10,2023-2024,93.9
Region of Waterloo Public Health and Paramedic Services,MCC,11,2023-2024,94.2
Region of Waterloo Public Health and Paramedic Services,MCC,12,2023-2024,95.7
Region of Waterloo Public Health and Paramedic Services,MCV4,13,2023-2024,88.8
Region of Waterloo Public Health and Paramedic Services,MCV4,14,2023-2024,90.7
Region of Waterloo Public Health and Paramedic Services,MCV4,15,2023-2024,89.5
Region of Waterloo Public Health and Paramedic Services,MCV4,16,2023-2024,92.9
Region of Waterloo Public Health and Paramedic Services,Measles,5,2023-2024,64.1
Region of Waterloo Public Health and Paramedic Services,Measles,6,2023-2024,74.6
Region of Waterloo Public Health and Paramedic Services,Measles,8,2023-2024,87.5
Region of Waterloo Public Health and Paramedic Services,Measles,9,2023-2024,89.3
Region of Waterloo Public Health and Paramedic Services,Measles,10,2023-2024,90.1
Region of Waterloo Public Health and Paramedic Services,Measles,11,2023-2024,91.7
Region of Waterloo Public Health and Paramedic Services,Measles,12,2023-2024,92.6
Region of Waterloo Public Health and Paramedic Services,Measles,13,2023-2024,93.4
Region of Waterloo Public Health and Paramedic Services,Measles,14,2023-2024,95.2
Region of Waterloo Public Health and Paramedic Services,Measles,15,2023-2024,94.8
Region of Waterloo Public Health and Paramedic Services,Measles,16,2023-2024,95.1
Region of Waterloo Public Health and Paramedic Services,Mumps,5,2023-2024,63.4
Region of Waterloo Public Health and Paramedic Services,Mumps,6,2023-2024,74.2
Region of Waterloo Public Health and Paramedic Services,Mumps,8,2023-2024,87.2
Region of Waterloo Public Health and Paramedic Services,Mumps,9,2023-2024,88.9
Region of Waterloo Public Health and Paramedic Services,Mumps,10,2023-2024,89.8
Region of Waterloo Public Health and Paramedic Services,Mumps,11,2023-2024,91.5
Region of Waterloo Public Health and Paramedic Services,Mumps,12,2023-2024,92.4
Region of Waterloo Public Health and Paramedic Services,Mumps,13,2023-2024,93.3
Region of Waterloo Public Health and Paramedic Services,Mumps,14,2023-2024,95
Region of Waterloo Public Health and Paramedic Services,Mumps,15,2023-2024,94.7
Region of Waterloo Public Health and Paramedic Services,Mumps,16,2023-2024,95
Region of Waterloo Public Health and Paramedic Services,Pertussis,5,2023-2024,64.4
Region of Waterloo Public Health and Paramedic Services,Pertussis,6,2023-2024,74.9
Region of Waterloo Public Health and Paramedic Services,Pertussis,8,2023-2024,86.9
Region of Waterloo Public Health and Paramedic Services,Pertussis,9,2023-2024,88.2
Region of Waterloo Public Health and Paramedic Services,Pertussis,10,2023-2024,89.6
Region of Waterloo Public Health and Paramedic Services,Pertussis,11,2023-2024,90.8
Region of Waterloo Public Health and Paramedic Services,Pertussis,12,2023-2024,91.4
Region of Waterloo Public Health and Paramedic Services,Pertussis,13,2023-2024,91.4
Region of Waterloo Public Health and Paramedic Services,Pertussis,14,2023-2024,78.1
Region of Waterloo Public Health and Paramedic Services,Pertussis,15,2023-2024,80.4
Region of Waterloo Public Health and Paramedic Services,Pertussis,16,2023-2024,83.3
Region of Waterloo Public Health and Paramedic Services,Pneumo,5,2023-2024,78.2
Region of Waterloo Public Health and Paramedic Services,Pneumo,6,2023-2024,78.8
Region of Waterloo Public Health and Paramedic Services,Pneumo,8,2023-2024,79.5
Region of Waterloo Public Health and Paramedic Services,Pneumo,9,2023-2024,78.5
Region of Waterloo Public Health and Paramedic Services,Pneumo,10,2023-2024,77.2
Region of Waterloo Public Health and Paramedic Services,Pneumo,11,2023-2024,75
Region of Waterloo Public Health and Paramedic Services,Pneumo,12,2023-2024,71.6
Region of Waterloo Public Health and Paramedic Services,Polio,5,2023-2024,64.7
Region of Waterloo Public Health and Paramedic Services,Polio,6,2023-2024,75
Region of Waterloo Public Health and Paramedic Services,Polio,8,2023-2024,87.6
Region of Waterloo Public Health and Paramedic Services,Polio,9,2023-2024,88.7
Region of Waterloo Public Health and Paramedic Services,Polio,10,2023-2024,90.2
Region of Waterloo Public Health and Paramedic Services,Polio,11,2023-2024,91.6
Region of Waterloo Public Health and Paramedic Services,Polio,12,2023-2024,92.4
Region of Waterloo Public Health and Paramedic Services,Polio,13,2023-2024,92.8
Region of Waterloo Public Health and Paramedic Services,Polio,14,2023-2024,94.1
Region of Waterloo Public Health and Paramedic Services,Polio,15,2023-2024,93.5
Region of Waterloo Public Health and Paramedic Services,Polio,16,2023-2024,93.2
Region of Waterloo Public Health and Paramedic Services,Rota,5,2023-2024,70.8
Region of Waterloo Public Health and Paramedic Services,Rota,6,2023-2024,73.9
Region of Waterloo Public Health and Paramedic Services,Rubella,5,2023-2024,92
Region of Waterloo Public Health and Paramedic Services,Rubella,6,2023-2024,91.8
Region of Waterloo Public Health and Paramedic Services,Rubella,8,2023-2024,93.7
Region of Waterloo Public Health and Paramedic Services,Rubella,9,2023-2024,94.8
Region of Waterloo Public Health and Paramedic Services,Rubella,10,2023-2024,95
Region of Waterloo Public Health and Paramedic Services,Rubella,11,2023-2024,95.6
Region of Waterloo Public Health and Paramedic Services,Rubella,12,2023-2024,95.6
Region of Waterloo Public Health and Paramedic Services,Rubella,13,2023-2024,96.2
Region of Waterloo Public Health and Paramedic Services,Rubella,14,2023-2024,97.1
Region of Waterloo Public Health and Paramedic Services,Rubella,15,2023-2024,96.7
Region of Waterloo Public Health and Paramedic Services,Rubella,16,2023-2024,96.8
Region of Waterloo Public Health and Paramedic Services,Tetanus,5,2023-2024,64.4
Region of Waterloo Public Health and Paramedic Services,Tetanus,6,2023-2024,75
Region of Waterloo Public Health and Paramedic Services,Tetanus,8,2023-2024,87
Region of Waterloo Public Health and Paramedic Services,Tetanus,9,2023-2024,88.4
Region of Waterloo Public Health and Paramedic Services,Tetanus,10,2023-2024,89.7
Region of Waterloo Public Health and Paramedic Services,Tetanus,11,2023-2024,90.9
Region of Waterloo Public Health and Paramedic Services,Tetanus,12,2023-2024,91.5
Region of Waterloo Public Health and Paramedic Services,Tetanus,13,2023-2024,91.5
Region of Waterloo Public Health and Paramedic Services,Tetanus,14,2023-2024,78.2
Region of Waterloo Public Health and Paramedic Services,Tetanus,15,2023-2024,80.3
Region of Waterloo Public Health and Paramedic Services,Tetanus,16,2023-2024,83.1
Region of Waterloo Public Health and Paramedic Services,Varicella,5,2023-2024,60.7
Region of Waterloo Public Health and Paramedic Services,Varicella,6,2023-2024,71.4
Region of Waterloo Public Health and Paramedic Services,Varicella,8,2023-2024,85.7
Region of Waterloo Public Health and Paramedic Services,Varicella,9,2023-2024,87
Region of Waterloo Public Health and Paramedic Services,Varicella,10,2023-2024,88.2
Region of Waterloo Public Health and Paramedic Services,Varicella,11,2023-2024,89.7
Region of Waterloo Public Health and Paramedic Services,Varicella,12,2023-2024,90.2
Wellington-Dufferin-Guelph Public Health,HepB,12,2023-2024,59.1
Wellington-Dufferin-Guelph Public Health,HPV,12,2023-2024,50.4
Wellington-Dufferin-Guelph Public Health,HPV,17,2023-2024,76.8
Wellington-Dufferin-Guelph Public Health,MCV4,12,2023-2024,77.7
Wellington-Dufferin-Guelph Public Health,Hib,7,2023-2024,82.7
Wellington-Dufferin-Guelph Public Health,Pneumo,7,2023-2024,82.4
Wellington-Dufferin-Guelph Public Health,Rota,7,2023-2024,78.9
Wellington-Dufferin-Guelph Public Health,Diphtheria,17,2023-2024,86.6
Wellington-Dufferin-Guelph Public Health,HepB,17,2023-2024,83.2
Wellington-Dufferin-Guelph Public Health,Pertussis,17,2023-2024,86.9
Wellington-Dufferin-Guelph Public Health,Tetanus,17,2023-2024,86.5
Wellington-Dufferin-Guelph Public Health,Diphtheria,7,2023-2024,89.8
Wellington-Dufferin-Guelph Public Health,MCC,7,2023-2024,94.4
Wellington-Dufferin-Guelph Public Health,Measles,7,2023-2024,90.5
Wellington-Dufferin-Guelph Public Health,Mumps,7,2023-2024,90.2
Wellington-Dufferin-Guelph Public Health,Pertussis,7,2023-2024,89.8
Wellington-Dufferin-Guelph Public Health,Polio,7,2023-2024,90.4
Wellington-Dufferin-Guelph Public Health,Tetanus,7,2023-2024,89.8
Wellington-Dufferin-Guelph Public Health,Varicella,7,2023-2024,89.1
Wellington-Dufferin-Guelph Public Health,MCV4,17,2023-2024,96.2
Wellington-Dufferin-Guelph Public Health,Measles,17,2023-2024,97.3
Wellington-Dufferin-Guelph Public Health,Mumps,17,2023-2024,97.1
Wellington-Dufferin-Guelph Public Health,Polio,17,2023-2024,95
Wellington-Dufferin-Guelph Public Health,Rubella,7,2023-2024,95.5
Wellington-Dufferin-Guelph Public Health,Rubella,17,2023-2024,98.5
Wellington-Dufferin-Guelph Public Health,Diphtheria,5,2023-2024,67.5
Wellington-Dufferin-Guelph Public Health,Diphtheria,6,2023-2024,72.2
Wellington-Dufferin-Guelph Public Health,Diphtheria,8,2023-2024,92.7
Wellington-Dufferin-Guelph Public Health,Diphtheria,9,2023-2024,93.2
Wellington-Dufferin-Guelph Public Health,Diphtheria,10,2023-2024,94
Wellington-Dufferin-Guelph Public Health,Diphtheria,11,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,Diphtheria,12,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,Diphtheria,13,2023-2024,95.1
Wellington-Dufferin-Guelph Public Health,Diphtheria,14,2023-2024,73.4
Wellington-Dufferin-Guelph Public Health,Diphtheria,15,2023-2024,77.1
Wellington-Dufferin-Guelph Public Health,Diphtheria,16,2023-2024,85.5
Wellington-Dufferin-Guelph Public Health,HepB,13,2023-2024,73.4
Wellington-Dufferin-Guelph Public Health,HepB,14,2023-2024,78.6
Wellington-Dufferin-Guelph Public Health,HepB,15,2023-2024,78.4
Wellington-Dufferin-Guelph Public Health,HepB,16,2023-2024,77
Wellington-Dufferin-Guelph Public Health,Hib,5,2023-2024,81.5
Wellington-Dufferin-Guelph Public Health,Hib,6,2023-2024,83.7
Wellington-Dufferin-Guelph Public Health,Hib,8,2023-2024,86.2
Wellington-Dufferin-Guelph Public Health,Hib,9,2023-2024,87.8
Wellington-Dufferin-Guelph Public Health,Hib,10,2023-2024,87.5
Wellington-Dufferin-Guelph Public Health,Hib,11,2023-2024,86
Wellington-Dufferin-Guelph Public Health,Hib,12,2023-2024,85
Wellington-Dufferin-Guelph Public Health,HPV,13,2023-2024,65.8
Wellington-Dufferin-Guelph Public Health,HPV,14,2023-2024,72.8
Wellington-Dufferin-Guelph Public Health,HPV,15,2023-2024,72.2
Wellington-Dufferin-Guelph Public Health,HPV,16,2023-2024,72.3
Wellington-Dufferin-Guelph Public Health,MCC,5,2023-2024,94.8
Wellington-Dufferin-Guelph Public Health,MCC,6,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,MCC,8,2023-2024,96
Wellington-Dufferin-Guelph Public Health,MCC,9,2023-2024,96.3
Wellington-Dufferin-Guelph Public Health,MCC,10,2023-2024,96.6
Wellington-Dufferin-Guelph Public Health,MCC,11,2023-2024,96.7
Wellington-Dufferin-Guelph Public Health,MCC,12,2023-2024,97.6
Wellington-Dufferin-Guelph Public Health,MCV4,13,2023-2024,93.5
Wellington-Dufferin-Guelph Public Health,MCV4,14,2023-2024,94.5
Wellington-Dufferin-Guelph Public Health,MCV4,15,2023-2024,94.2
Wellington-Dufferin-Guelph Public Health,MCV4,16,2023-2024,93.9
Wellington-Dufferin-Guelph Public Health,Measles,5,2023-2024,66.5
Wellington-Dufferin-Guelph Public Health,Measles,6,2023-2024,71.1
Wellington-Dufferin-Guelph Public Health,Measles,8,2023-2024,93.1
Wellington-Dufferin-Guelph Public Health,Measles,9,2023-2024,93.7
Wellington-Dufferin-Guelph Public Health,Measles,10,2023-2024,94.8
Wellington-Dufferin-Guelph Public Health,Measles,11,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,Measles,12,2023-2024,96.1
Wellington-Dufferin-Guelph Public Health,Measles,13,2023-2024,96.2
Wellington-Dufferin-Guelph Public Health,Measles,14,2023-2024,96.3
Wellington-Dufferin-Guelph Public Health,Measles,15,2023-2024,96.4
Wellington-Dufferin-Guelph Public Health,Measles,16,2023-2024,96.5
Wellington-Dufferin-Guelph Public Health,Mumps,5,2023-2024,66.3
Wellington-Dufferin-Guelph Public Health,Mumps,6,2023-2024,70.8
Wellington-Dufferin-Guelph Public Health,Mumps,8,2023-2024,92.9
Wellington-Dufferin-Guelph Public Health,Mumps,9,2023-2024,93.7
Wellington-Dufferin-Guelph Public Health,Mumps,10,2023-2024,94.7
Wellington-Dufferin-Guelph Public Health,Mumps,11,2023-2024,95.1
Wellington-Dufferin-Guelph Public Health,Mumps,12,2023-2024,96
Wellington-Dufferin-Guelph Public Health,Mumps,13,2023-2024,96.1
Wellington-Dufferin-Guelph Public Health,Mumps,14,2023-2024,96.2
Wellington-Dufferin-Guelph Public Health,Mumps,15,2023-2024,96.3
Wellington-Dufferin-Guelph Public Health,Mumps,16,2023-2024,96.4
Wellington-Dufferin-Guelph Public Health,Pertussis,5,2023-2024,67.5
Wellington-Dufferin-Guelph Public Health,Pertussis,6,2023-2024,72.2
Wellington-Dufferin-Guelph Public Health,Pertussis,8,2023-2024,92.6
Wellington-Dufferin-Guelph Public Health,Pertussis,9,2023-2024,93.1
Wellington-Dufferin-Guelph Public Health,Pertussis,10,2023-2024,94
Wellington-Dufferin-Guelph Public Health,Pertussis,11,2023-2024,95.1
Wellington-Dufferin-Guelph Public Health,Pertussis,12,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,Pertussis,13,2023-2024,95.1
Wellington-Dufferin-Guelph Public Health,Pertussis,14,2023-2024,73.4
Wellington-Dufferin-Guelph Public Health,Pertussis,15,2023-2024,76.9
Wellington-Dufferin-Guelph Public Health,Pertussis,16,2023-2024,85.5
Wellington-Dufferin-Guelph Public Health,Pneumo,5,2023-2024,83.4
Wellington-Dufferin-Guelph Public Health,Pneumo,6,2023-2024,83.9
Wellington-Dufferin-Guelph Public Health,Pneumo,8,2023-2024,84.4
Wellington-Dufferin-Guelph Public Health,Pneumo,9,2023-2024,86
Wellington-Dufferin-Guelph Public Health,Pneumo,10,2023-2024,84.8
Wellington-Dufferin-Guelph Public Health,Pneumo,11,2023-2024,82.7
Wellington-Dufferin-Guelph Public Health,Pneumo,12,2023-2024,80.4
Wellington-Dufferin-Guelph Public Health,Polio,5,2023-2024,67.8
Wellington-Dufferin-Guelph Public Health,Polio,6,2023-2024,72.4
Wellington-Dufferin-Guelph Public Health,Polio,8,2023-2024,93.3
Wellington-Dufferin-Guelph Public Health,Polio,9,2023-2024,93.8
Wellington-Dufferin-Guelph Public Health,Polio,10,2023-2024,94.4
Wellington-Dufferin-Guelph Public Health,Polio,11,2023-2024,95.6
Wellington-Dufferin-Guelph Public Health,Polio,12,2023-2024,95.4
Wellington-Dufferin-Guelph Public Health,Polio,13,2023-2024,96
Wellington-Dufferin-Guelph Public Health,Polio,14,2023-2024,95.4
Wellington-Dufferin-Guelph Public Health,Polio,15,2023-2024,94.4
Wellington-Dufferin-Guelph Public Health,Polio,16,2023-2024,94.8
Wellington-Dufferin-Guelph Public Health,Rota,5,2023-2024,74
Wellington-Dufferin-Guelph Public Health,Rota,6,2023-2024,78.6
Wellington-Dufferin-Guelph Public Health,Rubella,5,2023-2024,95.6
Wellington-Dufferin-Guelph Public Health,Rubella,6,2023-2024,96
Wellington-Dufferin-Guelph Public Health,Rubella,8,2023-2024,96.8
Wellington-Dufferin-Guelph Public Health,Rubella,9,2023-2024,97.3
Wellington-Dufferin-Guelph Public Health,Rubella,10,2023-2024,97.4
Wellington-Dufferin-Guelph Public Health,Rubella,11,2023-2024,97.5
Wellington-Dufferin-Guelph Public Health,Rubella,12,2023-2024,97.7
Wellington-Dufferin-Guelph Public Health,Rubella,13,2023-2024,98
Wellington-Dufferin-Guelph Public Health,Rubella,14,2023-2024,97.7
Wellington-Dufferin-Guelph Public Health,Rubella,15,2023-2024,98
Wellington-Dufferin-Guelph Public Health,Rubella,16,2023-2024,98.3
Wellington-Dufferin-Guelph Public Health,Tetanus,5,2023-2024,67.5
Wellington-Dufferin-Guelph Public Health,Tetanus,6,2023-2024,72.2
Wellington-Dufferin-Guelph Public Health,Tetanus,8,2023-2024,92.7
Wellington-Dufferin-Guelph Public Health,Tetanus,9,2023-2024,93.2
Wellington-Dufferin-Guelph Public Health,Tetanus,10,2023-2024,94
Wellington-Dufferin-Guelph Public Health,Tetanus,11,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,Tetanus,12,2023-2024,95.2
Wellington-Dufferin-Guelph Public Health,Tetanus,13,2023-2024,95.1
Wellington-Dufferin-Guelph Public Health,Tetanus,14,2023-2024,73.3
Wellington-Dufferin-Guelph Public Health,Tetanus,15,2023-2024,77.1
Wellington-Dufferin-Guelph Public Health,Tetanus,16,2023-2024,85.5
Wellington-Dufferin-Guelph Public Health,Varicella,5,2023-2024,62.3
Wellington-Dufferin-Guelph Public Health,Varicella,6,2023-2024,67.8
Wellington-Dufferin-Guelph Public Health,Varicella,8,2023-2024,91.9
Wellington-Dufferin-Guelph Public Health,Varicella,9,2023-2024,92.9
Wellington-Dufferin-Guelph Public Health,Varicella,10,2023-2024,93.3
Wellington-Dufferin-Guelph Public Health,Varicella,11,2023-2024,94.2
Wellington-Dufferin-Guelph Public Health,Varicella,12,2023-2024,94.4
Windsor-Essex County Health Unit,HPV,12,2023-2024,52.4
Windsor-Essex County Health Unit,HepB,12,2023-2024,62.5
Windsor-Essex County Health Unit,HPV,17,2023-2024,68.4
Windsor-Essex County Health Unit,Diphtheria,17,2023-2024,76.3
Windsor-Essex County Health Unit,HepB,17,2023-2024,77.1
Windsor-Essex County Health Unit,Pertussis,17,2023-2024,76.2
Windsor-Essex County Health Unit,Tetanus,17,2023-2024,76.3
Windsor-Essex County Health Unit,Diphtheria,7,2023-2024,83.7
Windsor-Essex County Health Unit,Hib,7,2023-2024,81.2
Windsor-Essex County Health Unit,Pertussis,7,2023-2024,83.6
Windsor-Essex County Health Unit,Pneumo,7,2023-2024,81
Windsor-Essex County Health Unit,Polio,7,2023-2024,84.6
Windsor-Essex County Health Unit,Rota,7,2023-2024,76.6
Windsor-Essex County Health Unit,Tetanus,7,2023-2024,83.7
Windsor-Essex County Health Unit,Varicella,7,2023-2024,83.7
Windsor-Essex County Health Unit,MCV4,12,2023-2024,81.6
Windsor-Essex County Health Unit,MCC,7,2023-2024,93.9
Windsor-Essex County Health Unit,Measles,7,2023-2024,85.2
Windsor-Essex County Health Unit,Mumps,7,2023-2024,85
Windsor-Essex County Health Unit,Rubella,7,2023-2024,94.5
Windsor-Essex County Health Unit,Measles,17,2023-2024,93.5
Windsor-Essex County Health Unit,Mumps,17,2023-2024,93.3
Windsor-Essex County Health Unit,Polio,17,2023-2024,90.9
Windsor-Essex County Health Unit,MCV4,17,2023-2024,92.8
Windsor-Essex County Health Unit,Rubella,17,2023-2024,95.4
Windsor-Essex County Health Unit,Diphtheria,5,2023-2024,53.3
Windsor-Essex County Health Unit,Diphtheria,6,2023-2024,60.7
Windsor-Essex County Health Unit,Diphtheria,8,2023-2024,91.4
Windsor-Essex County Health Unit,Diphtheria,9,2023-2024,92.1
Windsor-Essex County Health Unit,Diphtheria,10,2023-2024,91.5
Windsor-Essex County Health Unit,Diphtheria,11,2023-2024,91.7
Windsor-Essex County Health Unit,Diphtheria,12,2023-2024,91.3
Windsor-Essex County Health Unit,Diphtheria,13,2023-2024,91.8
Windsor-Essex County Health Unit,Diphtheria,14,2023-2024,68.4
Windsor-Essex County Health Unit,Diphtheria,15,2023-2024,73.2
Windsor-Essex County Health Unit,Diphtheria,16,2023-2024,78.5
Windsor-Essex County Health Unit,HepB,13,2023-2024,68.7
Windsor-Essex County Health Unit,HepB,14,2023-2024,59.8
Windsor-Essex County Health Unit,HepB,15,2023-2024,62.8
Windsor-Essex County Health Unit,HepB,16,2023-2024,71.8
Windsor-Essex County Health Unit,Hib,5,2023-2024,84.4
Windsor-Essex County Health Unit,Hib,6,2023-2024,83.3
Windsor-Essex County Health Unit,Hib,8,2023-2024,84.4
Windsor-Essex County Health Unit,Hib,9,2023-2024,82.2
Windsor-Essex County Health Unit,Hib,10,2023-2024,81.8
Windsor-Essex County Health Unit,Hib,11,2023-2024,80.2
Windsor-Essex County Health Unit,Hib,12,2023-2024,76
Windsor-Essex County Health Unit,HPV,13,2023-2024,57.8
Windsor-Essex County Health Unit,HPV,14,2023-2024,50.1
Windsor-Essex County Health Unit,HPV,15,2023-2024,52.9
Windsor-Essex County Health Unit,HPV,16,2023-2024,63.6
Windsor-Essex County Health Unit,MCC,5,2023-2024,94.2
Windsor-Essex County Health Unit,MCC,6,2023-2024,94.5
Windsor-Essex County Health Unit,MCC,8,2023-2024,95.1
Windsor-Essex County Health Unit,MCC,9,2023-2024,95.7
Windsor-Essex County Health Unit,MCC,10,2023-2024,95.4
Windsor-Essex County Health Unit,MCC,11,2023-2024,95.7
Windsor-Essex County Health Unit,MCC,12,2023-2024,96.6
Windsor-Essex County Health Unit,MCV4,13,2023-2024,93.1
Windsor-Essex County Health Unit,MCV4,14,2023-2024,92.7
Windsor-Essex County Health Unit,MCV4,15,2023-2024,87.4
Windsor-Essex County Health Unit,MCV4,16,2023-2024,91.2
Windsor-Essex County Health Unit,Measles,5,2023-2024,52.7
Windsor-Essex County Health Unit,Measles,6,2023-2024,59.6
Windsor-Essex County Health Unit,Measles,8,2023-2024,92.9
Windsor-Essex County Health Unit,Measles,9,2023-2024,94
Windsor-Essex County Health Unit,Measles,10,2023-2024,93.7
Windsor-Essex County Health Unit,Measles,11,2023-2024,94.2
Windsor-Essex County Health Unit,Measles,12,2023-2024,94.8
Windsor-Essex County Health Unit,Measles,13,2023-2024,95.6
Windsor-Essex County Health Unit,Measles,14,2023-2024,95.4
Windsor-Essex County Health Unit,Measles,15,2023-2024,94.3
Windsor-Essex County Health Unit,Measles,16,2023-2024,93.6
Windsor-Essex County Health Unit,Mumps,5,2023-2024,51.9
Windsor-Essex County Health Unit,Mumps,6,2023-2024,59.3
Windsor-Essex County Health Unit,Mumps,8,2023-2024,92.8
Windsor-Essex County Health Unit,Mumps,9,2023-2024,93.7
Windsor-Essex County Health Unit,Mumps,10,2023-2024,93.6
Windsor-Essex County Health Unit,Mumps,11,2023-2024,94.1
Windsor-Essex County Health Unit,Mumps,12,2023-2024,94.7
Windsor-Essex County Health Unit,Mumps,13,2023-2024,95.6
Windsor-Essex County Health Unit,Mumps,14,2023-2024,95.2
Windsor-Essex County Health Unit,Mumps,15,2023-2024,94.2
Windsor-Essex County Health Unit,Mumps,16,2023-2024,93.3
Windsor-Essex County Health Unit,Pertussis,5,2023-2024,53.2
Windsor-Essex County Health Unit,Pertussis,6,2023-2024,60.7
Windsor-Essex County Health Unit,Pertussis,8,2023-2024,91.3
Windsor-Essex County Health Unit,Pertussis,9,2023-2024,92
Windsor-Essex County Health Unit,Pertussis,10,2023-2024,91.5
Windsor-Essex County Health Unit,Pertussis,11,2023-2024,91.6
Windsor-Essex County Health Unit,Pertussis,12,2023-2024,91.2
Windsor-Essex County Health Unit,Pertussis,13,2023-2024,91.8
Windsor-Essex County Health Unit,Pertussis,14,2023-2024,68.2
Windsor-Essex County Health Unit,Pertussis,15,2023-2024,73.1
Windsor-Essex County Health Unit,Pertussis,16,2023-2024,78.7
Windsor-Essex County Health Unit,Pneumo,5,2023-2024,82.7
Windsor-Essex County Health Unit,Pneumo,6,2023-2024,83
Windsor-Essex County Health Unit,Pneumo,8,2023-2024,80.4
Windsor-Essex County Health Unit,Pneumo,9,2023-2024,79.6
Windsor-Essex County Health Unit,Pneumo,10,2023-2024,78.2
Windsor-Essex County Health Unit,Pneumo,11,2023-2024,75.9
Windsor-Essex County Health Unit,Pneumo,12,2023-2024,71.8
