Public_health_unit,Antigen,Age,Year,Number_of_Doses,Proportion
City of Hamilton Public Health Services,Measles,7,2022-2023,2 or more doses,64.2
City of Hamilton Public Health Services,Measles,7,2023-2024,2 or more doses,47.9
City of Hamilton Public Health Services,HepB,12,2019-2020,0 doses,13.6
City of Hamilton Public Health Services,HepB,12,2020-2021,0 doses,30.5
City of Hamilton Public Health Services,HepB,12,2021-2022,0 doses,19.6
City of Hamilton Public Health Services,HepB,12,2022-2023,0 doses,21.4
City of Hamilton Public Health Services,HepB,12,2023-2024,0 doses,22.4
City of Hamilton Public Health Services,HepB,12,2019-2020,1 dose,32.2
City of Hamilton Public Health Services,HepB,12,2020-2021,1 dose,26.2
City of Hamilton Public Health Services,HepB,12,2021-2022,1 dose,14.2
City of Hamilton Public Health Services,HepB,12,2022-2023,1 dose,7.3
City of Hamilton Public Health Services,HepB,12,2023-2024,1 dose,12.5
City of Hamilton Public Health Services,HepB,12,2019-2020,2 doses,37.7
City of Hamilton Public Health Services,HepB,12,2020-2021,2 doses,28.7
City of Hamilton Public Health Services,HepB,12,2021-2022,2 doses,51
City of Hamilton Public Health Services,HepB,12,2022-2023,2 doses,55.5
City of Hamilton Public Health Services,HepB,12,2023-2024,2 doses,48.5
City of Hamilton Public Health Services,HepB,12,2019-2020,3 or more doses,16.4
City of Hamilton Public Health Services,HepB,12,2020-2021,3 or more doses,14.6
City of Hamilton Public Health Services,HepB,12,2021-2022,3 or more doses,15.2
City of Hamilton Public Health Services,HepB,12,2022-2023,3 or more doses,15.7
City of Hamilton Public Health Services,HepB,12,2023-2024,3 or more doses,16.6
City of Hamilton Public Health Services,HPV,12,2019-2020,0 doses,22.3
City of Hamilton Public Health Services,HPV,12,2020-2021,0 doses,39.3
City of Hamilton Public Health Services,HPV,12,2021-2022,0 doses,28.3
City of Hamilton Public Health Services,HPV,12,2022-2023,0 doses,30.9
City of Hamilton Public Health Services,HPV,12,2023-2024,0 doses,30.8
City of Hamilton Public Health Services,HPV,12,2019-2020,1 dose,36
City of Hamilton Public Health Services,HPV,12,2020-2021,1 dose,29
City of Hamilton Public Health Services,HPV,12,2021-2022,1 dose,14.8
City of Hamilton Public Health Services,HPV,12,2022-2023,1 dose,7.6
City of Hamilton Public Health Services,HPV,12,2023-2024,1 dose,13.7
City of Hamilton Public Health Services,HPV,12,2019-2020,2 doses,40.8
City of Hamilton Public Health Services,HPV,12,2020-2021,2 doses,30.8
City of Hamilton Public Health Services,HPV,12,2021-2022,2 doses,56.4
City of Hamilton Public Health Services,HPV,12,2022-2023,2 doses,61.4
City of Hamilton Public Health Services,HPV,12,2023-2024,2 doses,55.3
City of Hamilton Public Health Services,HPV,12,2019-2020,3 or more doses,0.9
City of Hamilton Public Health Services,HPV,12,2020-2021,3 or more doses,0.9
City of Hamilton Public Health Services,HPV,12,2021-2022,3 or more doses,0.4
City of Hamilton Public Health Services,HPV,12,2022-2023,3 or more doses,0.2
City of Hamilton Public Health Services,HPV,12,2023-2024,3 or more doses,0.1
Hastings Prince Edward Public Health,Measles,7,2019-2020,0 doses,2.2
Hastings Prince Edward Public Health,Measles,7,2020-2021,0 doses,2.9
Hastings Prince Edward Public Health,Measles,7,2021-2022,0 doses,2
Hastings Prince Edward Public Health,Measles,7,2022-2023,0 doses,2.9
Hastings Prince Edward Public Health,Measles,7,2023-2024,0 doses,2.5
Hastings Prince Edward Public Health,Measles,7,2019-2020,1 dose,6.7
Hastings Prince Edward Public Health,Measles,7,2020-2021,1 dose,17.4
Hastings Prince Edward Public Health,Measles,7,2021-2022,1 dose,17.4
Hastings Prince Edward Public Health,Measles,7,2022-2023,1 dose,7.1
Hastings Prince Edward Public Health,Measles,7,2023-2024,1 dose,4.6
Hastings Prince Edward Public Health,Measles,7,2019-2020,2 or more doses,91.1
Hastings Prince Edward Public Health,Measles,7,2020-2021,2 or more doses,79.7
Hastings Prince Edward Public Health,Measles,7,2021-2022,2 or more doses,80.6
Hastings Prince Edward Public Health,Measles,7,2022-2023,2 or more doses,90
Hastings Prince Edward Public Health,Measles,7,2023-2024,2 or more doses,92.9
Hastings Prince Edward Public Health,HepB,12,2019-2020,0 doses,8.9
Hastings Prince Edward Public Health,HepB,12,2020-2021,0 doses,16.1
Hastings Prince Edward Public Health,HepB,12,2021-2022,0 doses,14
Hastings Prince Edward Public Health,HepB,12,2022-2023,0 doses,14.5
Hastings Prince Edward Public Health,HepB,12,2023-2024,0 doses,22.2
Hastings Prince Edward Public Health,HepB,12,2019-2020,1 dose,25.2
Hastings Prince Edward Public Health,HepB,12,2020-2021,1 dose,19.3
Hastings Prince Edward Public Health,HepB,12,2021-2022,1 dose,13.8
Hastings Prince Edward Public Health,HepB,12,2022-2023,1 dose,20.9
Hastings Prince Edward Public Health,HepB,12,2023-2024,1 dose,17.2
Hastings Prince Edward Public Health,HepB,12,2019-2020,2 doses,57.1
Hastings Prince Edward Public Health,HepB,12,2020-2021,2 doses,57.6
Hastings Prince Edward Public Health,HepB,12,2021-2022,2 doses,63.9
Hastings Prince Edward Public Health,HepB,12,2022-2023,2 doses,57.4
Hastings Prince Edward Public Health,HepB,12,2023-2024,2 doses,52.5
Hastings Prince Edward Public Health,HepB,12,2019-2020,3 or more doses,8.8
Hastings Prince Edward Public Health,HepB,12,2020-2021,3 or more doses,7
Hastings Prince Edward Public Health,HepB,12,2021-2022,3 or more doses,8.2
Hastings Prince Edward Public Health,HepB,12,2022-2023,3 or more doses,7.2
Hastings Prince Edward Public Health,HepB,12,2023-2024,3 or more doses,8.1
Hastings Prince Edward Public Health,HPV,12,2019-2020,0 doses,18.5
Hastings Prince Edward Public Health,HPV,12,2020-2021,0 doses,24.9
Hastings Prince Edward Public Health,HPV,12,2021-2022,0 doses,23.2
Hastings Prince Edward Public Health,HPV,12,2022-2023,0 doses,23.5
Hastings Prince Edward Public Health,HPV,12,2023-2024,0 doses,31.4
Hastings Prince Edward Public Health,HPV,12,2019-2020,1 dose,23.7
Hastings Prince Edward Public Health,HPV,12,2020-2021,1 dose,18.1
Hastings Prince Edward Public Health,HPV,12,2021-2022,1 dose,12.9
Hastings Prince Edward Public Health,HPV,12,2022-2023,1 dose,19.5
Hastings Prince Edward Public Health,HPV,12,2023-2024,1 dose,16.3
Hastings Prince Edward Public Health,HPV,12,2019-2020,2 doses,57.2
Hastings Prince Edward Public Health,HPV,12,2020-2021,2 doses,56.6
Hastings Prince Edward Public Health,HPV,12,2021-2022,2 doses,63.9
Hastings Prince Edward Public Health,HPV,12,2022-2023,2 doses,57
Hastings Prince Edward Public Health,HPV,12,2023-2024,2 doses,52.3
Hastings Prince Edward Public Health,HPV,12,2019-2020,3 or more doses,0.5
Hastings Prince Edward Public Health,HPV,12,2020-2021,3 or more doses,0.4
Hastings Prince Edward Public Health,HPV,12,2021-2022,3 or more doses,0.1
Hastings Prince Edward Public Health,HPV,12,2022-2023,3 or more doses,0
Hastings Prince Edward Public Health,HPV,12,2023-2024,3 or more doses,0.1
Chatham-Kent Public Health,Measles,7,2019-2020,0 doses,2.9
Chatham-Kent Public Health,Measles,7,2020-2021,0 doses,4.6
Chatham-Kent Public Health,Measles,7,2021-2022,0 doses,6.8
Chatham-Kent Public Health,Measles,7,2022-2023,0 doses,5.1
Chatham-Kent Public Health,Measles,7,2023-2024,0 doses,7.8
Chatham-Kent Public Health,Measles,7,2019-2020,1 dose,3.6
Chatham-Kent Public Health,Measles,7,2020-2021,1 dose,19
Chatham-Kent Public Health,Measles,7,2021-2022,1 dose,18.3
Chatham-Kent Public Health,Measles,7,2022-2023,1 dose,5
Chatham-Kent Public Health,Measles,7,2023-2024,1 dose,4.2
Chatham-Kent Public Health,Measles,7,2019-2020,2 or more doses,93.6
Chatham-Kent Public Health,Measles,7,2020-2021,2 or more doses,76.5
Chatham-Kent Public Health,Measles,7,2021-2022,2 or more doses,74.8
Chatham-Kent Public Health,Measles,7,2022-2023,2 or more doses,90
Chatham-Kent Public Health,Measles,7,2023-2024,2 or more doses,88
Chatham-Kent Public Health,HepB,12,2019-2020,0 doses,11.8
Chatham-Kent Public Health,HepB,12,2020-2021,0 doses,23.2
Chatham-Kent Public Health,HepB,12,2021-2022,0 doses,16.7
Chatham-Kent Public Health,HepB,12,2022-2023,0 doses,18
Chatham-Kent Public Health,HepB,12,2023-2024,0 doses,21.7
Chatham-Kent Public Health,HepB,12,2019-2020,1 dose,20
Chatham-Kent Public Health,HepB,12,2020-2021,1 dose,27.4
Chatham-Kent Public Health,HepB,12,2021-2022,1 dose,11
Chatham-Kent Public Health,HepB,12,2022-2023,1 dose,8.7
Chatham-Kent Public Health,HepB,12,2023-2024,1 dose,11.4
Chatham-Kent Public Health,HepB,12,2019-2020,2 doses,58.9
Chatham-Kent Public Health,HepB,12,2020-2021,2 doses,42.7
Chatham-Kent Public Health,HepB,12,2021-2022,2 doses,64.8
Chatham-Kent Public Health,HepB,12,2022-2023,2 doses,67.4
Chatham-Kent Public Health,HepB,12,2023-2024,2 doses,60.5
Chatham-Kent Public Health,HepB,12,2019-2020,3 or more doses,9.2
Chatham-Kent Public Health,HepB,12,2020-2021,3 or more doses,6.7
Chatham-Kent Public Health,HepB,12,2021-2022,3 or more doses,7.6
Chatham-Kent Public Health,HepB,12,2022-2023,3 or more doses,5.9
Chatham-Kent Public Health,HepB,12,2023-2024,3 or more doses,6.3
Chatham-Kent Public Health,HPV,12,2019-2020,0 doses,22.7
Chatham-Kent Public Health,HPV,12,2020-2021,0 doses,30.9
Chatham-Kent Public Health,HPV,12,2021-2022,0 doses,27.1
Chatham-Kent Public Health,HPV,12,2022-2023,0 doses,28.4
Chatham-Kent Public Health,HPV,12,2023-2024,0 doses,31.3
Chatham-Kent Public Health,HPV,12,2019-2020,1 dose,19.2
Chatham-Kent Public Health,HPV,12,2020-2021,1 dose,26.4
Chatham-Kent Public Health,HPV,12,2021-2022,1 dose,10.3
Chatham-Kent Public Health,HPV,12,2022-2023,1 dose,8.2
Chatham-Kent Public Health,HPV,12,2023-2024,1 dose,10.9
Chatham-Kent Public Health,HPV,12,2019-2020,2 doses,56.7
Chatham-Kent Public Health,HPV,12,2020-2021,2 doses,42.5
Chatham-Kent Public Health,HPV,12,2021-2022,2 doses,62.6
Chatham-Kent Public Health,HPV,12,2022-2023,2 doses,63.3
Chatham-Kent Public Health,HPV,12,2023-2024,2 doses,57.9
Chatham-Kent Public Health,HPV,12,2019-2020,3 or more doses,1.4
Chatham-Kent Public Health,HPV,12,2020-2021,3 or more doses,0.3
Chatham-Kent Public Health,HPV,12,2021-2022,3 or more doses,0
Chatham-Kent Public Health,HPV,12,2022-2023,3 or more doses,0.2
Chatham-Kent Public Health,HPV,12,2023-2024,3 or more doses,0
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2019-2020,0 doses,1.4
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2020-2021,0 doses,1.2
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2021-2022,0 doses,1.6
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2022-2023,0 doses,1.3
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2023-2024,0 doses,1.4
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2019-2020,1 dose,1.6
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2020-2021,1 dose,5.2
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2021-2022,1 dose,4.7
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2022-2023,1 dose,2.7
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2023-2024,1 dose,2
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2019-2020,2 or more doses,97
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2020-2021,2 or more doses,93.6
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2021-2022,2 or more doses,93.7
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2022-2023,2 or more doses,96
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2023-2024,2 or more doses,96.5
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2019-2020,0 doses,5.1
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2020-2021,0 doses,6.7
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2021-2022,0 doses,6.9
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2022-2023,0 doses,7.9
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2023-2024,0 doses,12.5
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2019-2020,1 dose,15.1
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2020-2021,1 dose,8.1
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2021-2022,1 dose,4.6
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2022-2023,1 dose,5.1
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2023-2024,1 dose,13.8
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2019-2020,2 doses,66.2
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2020-2021,2 doses,70.5
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2021-2022,2 doses,75.4
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2022-2023,2 doses,72.7
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2023-2024,2 doses,59.6
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2019-2020,3 or more doses,13.6
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2020-2021,3 or more doses,14.6
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2021-2022,3 or more doses,13.2
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2022-2023,3 or more doses,14.3
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2023-2024,3 or more doses,14.1
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2019-2020,0 doses,11.2
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2020-2021,0 doses,13.1
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2021-2022,0 doses,12.9
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2022-2023,0 doses,14.4
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2023-2024,0 doses,19.8
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2019-2020,1 dose,15.5
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2020-2021,1 dose,8.1
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2021-2022,1 dose,5.2
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2022-2023,1 dose,5.4
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2023-2024,1 dose,14.9
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2019-2020,2 doses,72
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2020-2021,2 doses,78.3
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2021-2022,2 doses,81.8
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2022-2023,2 doses,79.9
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2023-2024,2 doses,65.3
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2019-2020,3 or more doses,1.4
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2020-2021,3 or more doses,0.5
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2021-2022,3 or more doses,0.1
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2022-2023,3 or more doses,0.2
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2023-2024,3 or more doses,0
Lambton Public Health,Measles,7,2019-2020,0 doses,2.7
Lambton Public Health,Measles,7,2020-2021,0 doses,2.3
Lambton Public Health,Measles,7,2021-2022,0 doses,3.2
Lambton Public Health,Measles,7,2022-2023,0 doses,2.2
Lambton Public Health,Measles,7,2023-2024,0 doses,4.8
Lambton Public Health,Measles,7,2019-2020,1 dose,3.1
Lambton Public Health,Measles,7,2020-2021,1 dose,15
Lambton Public Health,Measles,7,2021-2022,1 dose,15.2
Lambton Public Health,Measles,7,2022-2023,1 dose,14.5
Lambton Public Health,Measles,7,2023-2024,1 dose,5.1
Lambton Public Health,Measles,7,2019-2020,2 or more doses,94.1
Lambton Public Health,Measles,7,2020-2021,2 or more doses,82.7
Lambton Public Health,Measles,7,2021-2022,2 or more doses,81.6
Lambton Public Health,Measles,7,2022-2023,2 or more doses,83.3
Lambton Public Health,Measles,7,2023-2024,2 or more doses,90
Lambton Public Health,HepB,12,2019-2020,0 doses,12.1
Lambton Public Health,HepB,12,2020-2021,0 doses,22.2
Lambton Public Health,HepB,12,2021-2022,0 doses,16
Lambton Public Health,HepB,12,2022-2023,0 doses,14.9
Lambton Public Health,HepB,12,2023-2024,0 doses,35.6
Lambton Public Health,HepB,12,2019-2020,1 dose,25
Lambton Public Health,HepB,12,2020-2021,1 dose,23.5
Lambton Public Health,HepB,12,2021-2022,1 dose,22.4
Lambton Public Health,HepB,12,2022-2023,1 dose,16.5
Lambton Public Health,HepB,12,2023-2024,1 dose,17.3
Lambton Public Health,HepB,12,2019-2020,2 doses,50.3
Lambton Public Health,HepB,12,2020-2021,2 doses,45.7
Lambton Public Health,HepB,12,2021-2022,2 doses,52.4
Lambton Public Health,HepB,12,2022-2023,2 doses,59.5
Lambton Public Health,HepB,12,2023-2024,2 doses,38.8
Lambton Public Health,HepB,12,2019-2020,3 or more doses,12.6
Lambton Public Health,HepB,12,2020-2021,3 or more doses,8.6
Lambton Public Health,HepB,12,2021-2022,3 or more doses,9.2
Lambton Public Health,HepB,12,2022-2023,3 or more doses,9.1
Lambton Public Health,HepB,12,2023-2024,3 or more doses,8.3
Lambton Public Health,HPV,12,2019-2020,0 doses,20.8
Lambton Public Health,HPV,12,2020-2021,0 doses,29.3
Lambton Public Health,HPV,12,2021-2022,0 doses,24
Lambton Public Health,HPV,12,2022-2023,0 doses,23.4
Lambton Public Health,HPV,12,2023-2024,0 doses,42.1
Lambton Public Health,HPV,12,2019-2020,1 dose,25.4
Lambton Public Health,HPV,12,2020-2021,1 dose,23.9
Lambton Public Health,HPV,12,2021-2022,1 dose,21.9
Lambton Public Health,HPV,12,2022-2023,1 dose,15.8
Lambton Public Health,HPV,12,2023-2024,1 dose,17
Lambton Public Health,HPV,12,2019-2020,2 doses,51.1
Lambton Public Health,HPV,12,2020-2021,2 doses,45.2
Lambton Public Health,HPV,12,2021-2022,2 doses,53.8
Lambton Public Health,HPV,12,2022-2023,2 doses,60.6
Lambton Public Health,HPV,12,2023-2024,2 doses,40.9
Lambton Public Health,HPV,12,2019-2020,3 or more doses,2.6
Lambton Public Health,HPV,12,2020-2021,3 or more doses,1.6
Lambton Public Health,HPV,12,2021-2022,3 or more doses,0.3
Lambton Public Health,HPV,12,2022-2023,3 or more doses,0.2
Lambton Public Health,HPV,12,2023-2024,3 or more doses,0
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2019-2020,0 doses,6.4
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2020-2021,0 doses,4.8
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2021-2022,0 doses,4.5
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2022-2023,0 doses,8.6
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2023-2024,0 doses,12.3
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2019-2020,1 dose,10.9
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2020-2021,1 dose,23.4
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2021-2022,1 dose,22.6
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2022-2023,1 dose,26
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2023-2024,1 dose,20.5
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2019-2020,2 or more doses,82.8
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2020-2021,2 or more doses,71.8
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2021-2022,2 or more doses,72.9
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2022-2023,2 or more doses,65.4
"Leeds, Grenville & Lanark District Health Unit",Measles,7,2023-2024,2 or more doses,67.2
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2019-2020,0 doses,13.9
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2020-2021,0 doses,26.9
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2021-2022,0 doses,26.2
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2022-2023,0 doses,23.9
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2023-2024,0 doses,25.4
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2019-2020,1 dose,20.8
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2020-2021,1 dose,27.3
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2021-2022,1 dose,17.1
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2022-2023,1 dose,9.8
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2023-2024,1 dose,18.8
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2019-2020,2 doses,57
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2020-2021,2 doses,38.2
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2021-2022,2 doses,50.4
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2022-2023,2 doses,58.6
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2023-2024,2 doses,50.2
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2019-2020,3 or more doses,8.4
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2020-2021,3 or more doses,7.6
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2021-2022,3 or more doses,6.3
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2022-2023,3 or more doses,7.7
"Leeds, Grenville & Lanark District Health Unit",HepB,12,2023-2024,3 or more doses,5.5
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2019-2020,0 doses,21.2
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2020-2021,0 doses,31.9
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2021-2022,0 doses,32.6
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2022-2023,0 doses,32
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2023-2024,0 doses,31.6
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2019-2020,1 dose,20
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2020-2021,1 dose,28.5
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2021-2022,1 dose,16.5
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2022-2023,1 dose,9.3
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2023-2024,1 dose,18.4
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2019-2020,2 doses,57.9
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2020-2021,2 doses,39
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2021-2022,2 doses,50.8
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2022-2023,2 doses,58.7
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2023-2024,2 doses,50
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2019-2020,3 or more doses,0.8
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2020-2021,3 or more doses,0.7
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2021-2022,3 or more doses,0.1
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2022-2023,3 or more doses,0
"Leeds, Grenville & Lanark District Health Unit",HPV,12,2023-2024,3 or more doses,0
Middlesex-London Health Unit,Measles,7,2019-2020,0 doses,3.8
Middlesex-London Health Unit,Measles,7,2020-2021,0 doses,5.4
Middlesex-London Health Unit,Measles,7,2021-2022,0 doses,6.6
Middlesex-London Health Unit,Measles,7,2022-2023,0 doses,4.3
Middlesex-London Health Unit,Measles,7,2023-2024,0 doses,3.8
Middlesex-London Health Unit,Measles,7,2019-2020,1 dose,5.7
Middlesex-London Health Unit,Measles,7,2020-2021,1 dose,15.3
Middlesex-London Health Unit,Measles,7,2021-2022,1 dose,13.1
Middlesex-London Health Unit,Measles,7,2022-2023,1 dose,5.3
Middlesex-London Health Unit,Measles,7,2023-2024,1 dose,6.7
Middlesex-London Health Unit,Measles,7,2019-2020,2 or more doses,90.5
Middlesex-London Health Unit,Measles,7,2020-2021,2 or more doses,79.3
Middlesex-London Health Unit,Measles,7,2021-2022,2 or more doses,80.2
Middlesex-London Health Unit,Measles,7,2022-2023,2 or more doses,90.4
Middlesex-London Health Unit,Measles,7,2023-2024,2 or more doses,89.5
Middlesex-London Health Unit,HepB,12,2019-2020,0 doses,10.4
Middlesex-London Health Unit,HepB,12,2020-2021,0 doses,11.1
Middlesex-London Health Unit,HepB,12,2021-2022,0 doses,12.3
Middlesex-London Health Unit,HepB,12,2022-2023,0 doses,13.8
Middlesex-London Health Unit,HepB,12,2023-2024,0 doses,19.2
Middlesex-London Health Unit,HepB,12,2019-2020,1 dose,11.5
Middlesex-London Health Unit,HepB,12,2020-2021,1 dose,10.3
Middlesex-London Health Unit,HepB,12,2021-2022,1 dose,9.7
Middlesex-London Health Unit,HepB,12,2022-2023,1 dose,10.4
Middlesex-London Health Unit,HepB,12,2023-2024,1 dose,12.5
Middlesex-London Health Unit,HepB,12,2019-2020,2 doses,57.8
Middlesex-London Health Unit,HepB,12,2020-2021,2 doses,58.9
Middlesex-London Health Unit,HepB,12,2021-2022,2 doses,58.3
Middlesex-London Health Unit,HepB,12,2022-2023,2 doses,54.1
Middlesex-London Health Unit,HepB,12,2023-2024,2 doses,45
Middlesex-London Health Unit,HepB,12,2019-2020,3 or more doses,20.3
Middlesex-London Health Unit,HepB,12,2020-2021,3 or more doses,19.7
Middlesex-London Health Unit,HepB,12,2021-2022,3 or more doses,19.8
Middlesex-London Health Unit,HepB,12,2022-2023,3 or more doses,21.6
Middlesex-London Health Unit,HepB,12,2023-2024,3 or more doses,23.3
Middlesex-London Health Unit,HPV,12,2019-2020,0 doses,19
Middlesex-London Health Unit,HPV,12,2020-2021,0 doses,19.8
Middlesex-London Health Unit,HPV,12,2021-2022,0 doses,20.9
Middlesex-London Health Unit,HPV,12,2022-2023,0 doses,22.7
Middlesex-London Health Unit,HPV,12,2023-2024,0 doses,29.3
Middlesex-London Health Unit,HPV,12,2019-2020,1 dose,13
Middlesex-London Health Unit,HPV,12,2020-2021,1 dose,11.8
Middlesex-London Health Unit,HPV,12,2021-2022,1 dose,10.7
Middlesex-London Health Unit,HPV,12,2022-2023,1 dose,11.3
Middlesex-London Health Unit,HPV,12,2023-2024,1 dose,14.7
Middlesex-London Health Unit,HPV,12,2019-2020,2 doses,66.3
Middlesex-London Health Unit,HPV,12,2020-2021,2 doses,67.3
Middlesex-London Health Unit,HPV,12,2021-2022,2 doses,67.9
Middlesex-London Health Unit,HPV,12,2022-2023,2 doses,65.8
Middlesex-London Health Unit,HPV,12,2023-2024,2 doses,55.9
Middlesex-London Health Unit,HPV,12,2019-2020,3 or more doses,1.8
Middlesex-London Health Unit,HPV,12,2020-2021,3 or more doses,1.2
Middlesex-London Health Unit,HPV,12,2021-2022,3 or more doses,0.5
Middlesex-London Health Unit,HPV,12,2022-2023,3 or more doses,0.2
Middlesex-London Health Unit,HPV,12,2023-2024,3 or more doses,0.2
Niagara Region Public Health,Measles,7,2019-2020,0 doses,3.3
Niagara Region Public Health,Measles,7,2020-2021,0 doses,3
Niagara Region Public Health,Measles,7,2021-2022,0 doses,3.9
